"","Data","BBDC3","BBDC4","BTOW3","ITUB4","LREN3","PSSA3","TRPL4","VALE3","VALE5","CSMG3"
"1",2009-11-03,27.7,34.25,50.21,33.55,31,17.9,48.8,44.21,39,31.25
"10",2009-11-04,28.59,35.1,51.01,35.6,32.39,18.5,49.3,46.93,41.5,30.89
"20",2009-11-05,28.4,35.07,51.81,36.06,31.32,18,49.45,46.46,41.35,31
"30",2009-11-06,28.5,35.5,50.25,36.74,32.3,18.74,50.5,47.19,41.92,30.71
"40",2009-11-09,28.62,35.49,50.42,36.89,33.67,18.46,50.24,47.9,42.41,30.61
"50",2009-11-10,28.85,35.6,49.28,37.1,33.7,18.64,50.61,48,42.72,31.21
"60",2009-11-11,29.03,36,48.9,38,33.96,18.55,50.9,48.55,43.25,31.37
"69",2009-11-12,29,35.6,49.01,37.79,33.24,18.53,50.09,47.49,42.18,31.2
"79",2009-11-13,28.4,35.05,49.1,37.05,34.26,18.48,49.34,46.45,40.88,30.7
"89",2009-11-16,28.71,35.78,49.5,38.2,35.9,18.75,51.21,47.84,41.76,30.25
"99",2009-11-17,29.5,35.87,48.9,37.98,36.55,19.25,51.45,48.45,42.4,30.2
"109",2009-11-18,29.8,36.5,48.62,38.6,36.51,19.07,51.54,49.75,43.66,30.6
"119",2009-11-19,29.79,35.8,47.3,37.65,35.61,19,51.58,48.05,42,29.35
"129",2009-11-23,29.31,35.63,48.2,37.41,37.14,18.95,51.18,49,43,29.01
"139",2009-11-24,29.1,35.71,48.69,37.81,37.73,19.08,51.51,49.14,42.82,29.21
"149",2009-11-25,29.55,36.19,48.65,38,38.82,19.14,51.49,49.4,43.12,29.98
"159",2009-11-26,29.58,35.9,48.3,38.2,38.3,18.9,50.25,49.41,42.85,29.25
"169",2009-11-27,28.47,35.35,48.5,37.39,37.2,18.85,50.2,48.59,42.05,29.52
"179",2009-11-30,29.2,35.8,50.28,37.65,37.12,19,50.79,49.42,42.8,29.5
"189",2009-12-01,29.37,36.59,51.24,38.38,38,18.95,50.56,49.57,42.9,30.5
"199",2009-12-02,29.95,37.2,51.94,39.2,38.34,19.34,50,50.07,42.98,30.52
"209",2009-12-03,30.47,37.4,51.6,40,39.12,19.52,50.92,49.96,42.98,30
"219",2009-12-04,30.52,37.11,48,39.07,39.35,19.59,49.57,48.86,42.1,29.38
"229",2009-12-07,30.15,37,49.07,39.3,38.49,19.67,49.53,48.41,41.61,29.65
"239",2009-12-08,30.6,37.73,47.88,39.7,38.3,19.67,50,47.91,41.05,29.31
"249",2009-12-09,30.8,38,47.3,40,38.21,19.79,49.51,47.9,41.35,30
"259",2009-12-10,30.95,38.1,47.99,40.1,38.4,19.88,49.87,48.74,41.85,30.8
"269",2009-12-11,31,38.51,47.5,40.4,38.55,19.88,50.75,49.63,42.7,31.7
"279",2009-12-14,31.32,38.5,48.01,40.25,39,19.9,51.39,50,42.9,31.79
"289",2009-12-15,30.78,37.89,47.21,39.38,38.2,20.07,51.25,49.9,42.94,31.68
"299",2009-12-16,31.25,38.18,47.5,40.21,38.49,20.1,51.46,50.11,43.3,31.6
"309",2009-12-17,30.3,37.09,46.77,39.32,36.74,20,49.79,49.85,42.7,32.01
"319",2009-12-18,29.55,36.2,45.6,38.43,36.77,19.8,49.02,49,41.5,32.45
"329",2009-12-21,29.52,36,45.2,38.72,37.01,19.92,49.35,48.8,41.77,34.25
"339",2009-12-22,29.4,36.08,44.65,38.43,37,20,50.5,48.4,41.17,33.4
"349",2009-12-23,29.7,36.44,44.09,38.5,38.83,20,51.97,49.39,42.2,33.1
